ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
39 19 39,82885,0.0006969835726559735,4.388860672510107,3.810009273283155,1.3173133900979073,0.47438213759499637,0.1357177316611774,0.7430796779172771,0.33137767297999154,0.4623095055320891
262 12 39 13 39 63 39,14312,0.00012035023094471005,14.914260722355602,4.285294714201769,0.8420279491792936,0.2948397896252693,0.25713846428268666,0.8357762901888366,0.2118169180398375,0.4622888027490574
282 21 264 283 71 22 405 23,1758,0.00001478309851878146,35.02546023158923,4.12737875836952,0.9999439050115417,0.08048332101805385,0.48914072231983663,0.8049773789051616,0.25154157457446225,0.46187932963744854
282 21 261 22,37705,0.0003170629861494056,9.920356987864873,3.9278371837490513,1.1994854796320111,0.3938639537099276,0.19952892476764883,0.7660600749395698,0.30173739218137197,0.4617298546754493
267 21 261 12 39,27408,0.0002304750649617533,11.02574663969095,4.086983533862961,1.0403391295181017,0.36125869896050317,0.2122806701380234,0.7970989544020465,0.2617032229696807,0.46162495976080004
282 21 261 12 279 13 71,7995,0.00006723030299070408,20.865364277517678,4.18467819034844,0.9426444730326224,0.2353163833164149,0.32579023525122625,0.81615269119595,0.237127576679217,0.46149923306237534
282 21 264 12 279 13 71,6005,0.00005049630637388093,20.78202022751002,4.4249809285524915,0.7023417348285714,0.20605732851654848,0.32482878052611847,0.863019790066141,0.1766780566216853,0.46128016227706886
268 263 51 13 71 21,47585,0.0004001443361866984,15.40103683262768,3.1932631607691873,1.9340595026118752,0.4176541056078295,0.26275390043256985,0.6227934870522628,0.4865236641470173,0.4610582716004444
282 21 261 22 71 12 71,6335,0.000053271290737474716,19.35766767818342,4.503254700068749,0.6240679633123138,0.2115260618647773,0.3083974877266501,0.8782858024970112,0.15698784436437485,0.460929094926467
262 12 39 281 39 13,59777,0.0005026673948561999,15.247432123030942,3.006108511014749,2.1212141523663135,0.440971828860443,0.26098192062324904,0.5862920491593285,0.5336034803769287,0.46073117663322727
39 63 39 326,23551,0.00019804138408181012,9.767080756426946,4.280800576686576,0.8465220866944867,0.3457546713950571,0.19776073427355634,0.8348997825433767,0.21294744388359746,0.4600358918898748
267 21 276,43699,0.0003674667930445,7.255758429054314,3.996366514838326,1.1309561485427364,0.4089453701929566,0.16879018727351006,0.7794255944491387,0.2844984493163401,0.45990761482126624
